line,bus_id,time,round_time,duration,status
125,21032329,2022-06-01 09:35:34,2022-06-01 09:36:00,362,d
125,21032329,2022-06-01 09:41:36,2022-06-01 09:42:00,4451,other
125,21032329,2022-06-01 10:55:47,2022-06-01 10:56:00,2872,o
125,21032329,2022-06-01 11:43:39,2022-06-01 11:44:00,4019,other
125,21032329,2022-06-01 12:50:38,2022-06-01 12:51:00,181,d
125,21032329,2022-06-01 12:53:39,2022-06-01 12:54:00,4292,other
125,21032329,2022-06-01 14:05:11,2022-06-01 14:05:00,7260,o
125,21032329,2022-06-01 16:06:11,2022-06-01 16:06:00,4019,other
125,21032341,2022-06-01 07:16:59,2022-06-01 07:17:00,1635,o
125,21032341,2022-06-01 07:44:14,2022-06-01 07:44:00,4423,other
125,21032341,2022-06-01 08:57:57,2022-06-01 08:58:00,220,d
125,21032341,2022-06-01 09:01:37,2022-06-01 09:02:00,4290,other
125,21032341,2022-06-01 10:13:07,2022-06-01 10:13:00,3711,o
125,21032341,2022-06-01 11:14:58,2022-06-01 11:15:00,3449,other
125,21032341,2022-06-01 12:12:27,2022-06-01 12:12:00,804,d
125,21032341,2022-06-01 12:25:51,2022-06-01 12:26:00,3905,other
125,21032341,2022-06-01 13:30:56,2022-06-01 13:31:00,6213,o
125,21032341,2022-06-01 15:14:29,2022-06-01 15:14:00,3518,other
125,21032341,2022-06-01 16:13:07,2022-06-01 16:13:00,1235,d
125,21032341,2022-06-01 16:33:42,2022-06-01 16:34:00,4349,other
125,21032341,2022-06-01 17:46:11,2022-06-01 17:46:00,4706,o
125,21032341,2022-06-01 19:04:37,2022-06-01 19:05:00,4610,other
125,21032341,2022-06-01 20:21:27,2022-06-01 20:21:00,681,d
125,21032341,2022-06-01 20:32:48,2022-06-01 20:33:00,3955,other
125,21032361,2022-06-01 07:05:35,2022-06-01 07:06:00,4933,o
125,21032361,2022-06-01 08:27:48,2022-06-01 08:28:00,812,d
125,21032361,2022-06-01 08:41:20,2022-06-01 08:41:00,4236,other
125,21032361,2022-06-01 09:51:56,2022-06-01 09:52:00,3040,o
125,21032361,2022-06-01 10:42:36,2022-06-01 10:43:00,3853,other
125,21032361,2022-06-01 11:46:49,2022-06-01 11:47:00,303,d
125,21032361,2022-06-01 11:51:52,2022-06-01 11:52:00,4339,other
125,21032361,2022-06-01 13:04:11,2022-06-01 13:04:00,3912,o
125,21032361,2022-06-01 14:09:23,2022-06-01 14:09:00,3555,other
125,21032361,2022-06-01 15:08:38,2022-06-01 15:09:00,1085,d
125,21032361,2022-06-01 15:26:43,2022-06-01 15:27:00,4135,other
125,21032374,2022-06-01 07:41:43,2022-06-01 07:42:00,614,o
125,21032374,2022-06-01 07:51:57,2022-06-01 07:52:00,4654,other
125,21032374,2022-06-01 09:09:31,2022-06-01 09:10:00,171,d
125,21032374,2022-06-01 09:12:22,2022-06-01 09:12:00,4448,other
125,21032374,2022-06-01 10:26:30,2022-06-01 10:26:00,4089,o
125,21032374,2022-06-01 11:34:39,2022-06-01 11:35:00,3588,other
125,21032374,2022-06-01 12:34:27,2022-06-01 12:34:00,473,d
125,21032374,2022-06-01 12:42:20,2022-06-01 12:42:00,4170,other
125,21032374,2022-06-01 13:51:50,2022-06-01 13:52:00,5557,o
125,21032374,2022-06-01 15:24:27,2022-06-01 15:24:00,3739,other
125,21032374,2022-06-01 16:26:46,2022-06-01 16:27:00,880,d
125,21032374,2022-06-01 16:41:26,2022-06-01 16:41:00,4862,other
125,21032374,2022-06-01 18:02:28,2022-06-01 18:02:00,4644,o
125,21032374,2022-06-01 19:19:52,2022-06-01 19:20:00,4506,other
125,21032374,2022-06-01 20:34:58,2022-06-01 20:35:00,682,d
125,21032374,2022-06-01 20:46:20,2022-06-01 20:46:00,4107,other
125,21032381,2022-06-01 06:20:37,2022-06-01 06:21:00,3533,o
125,21032381,2022-06-01 07:19:30,2022-06-01 07:20:00,4264,other
125,21032381,2022-06-01 08:30:34,2022-06-01 08:31:00,100,d
125,21032381,2022-06-01 08:32:14,2022-06-01 08:32:00,4312,other
125,21032381,2022-06-01 09:44:06,2022-06-01 09:44:00,2942,o
125,21032381,2022-06-01 10:33:08,2022-06-01 10:33:00,8239,other
125,21032381,2022-06-01 12:50:27,2022-06-01 12:50:00,4165,o
125,21032381,2022-06-01 13:59:52,2022-06-01 14:00:00,4245,other
125,21032381,2022-06-01 15:10:37,2022-06-01 15:11:00,130,d
125,21032381,2022-06-01 15:12:47,2022-06-01 15:13:00,4275,other
125,21032381,2022-06-01 16:24:02,2022-06-01 16:24:00,4243,o
125,21032381,2022-06-01 17:34:45,2022-06-01 17:35:00,4001,other
125,21032381,2022-06-01 18:41:26,2022-06-01 18:41:00,1205,d
125,21032381,2022-06-01 19:01:31,2022-06-01 19:02:00,4821,other
125,21032384,2022-06-01 07:20:57,2022-06-01 07:21:00,4409,o
125,21032384,2022-06-01 08:34:26,2022-06-01 08:34:00,751,d
125,21032384,2022-06-01 08:46:57,2022-06-01 08:47:00,4377,other
125,21032384,2022-06-01 09:59:54,2022-06-01 10:00:00,3952,o
125,21032384,2022-06-01 11:05:46,2022-06-01 11:06:00,3813,other
125,21032384,2022-06-01 12:09:19,2022-06-01 12:09:00,511,d
125,21032384,2022-06-01 12:17:50,2022-06-01 12:18:00,4049,other
125,21032384,2022-06-01 13:25:19,2022-06-01 13:25:00,3572,o
125,21032384,2022-06-01 14:24:51,2022-06-01 14:25:00,3607,other
125,21032384,2022-06-01 15:24:58,2022-06-01 15:25:00,1486,d
125,21032384,2022-06-01 15:49:44,2022-06-01 15:50:00,4231,other
125,21032391,2022-06-01 07:26:13,2022-06-01 07:26:00,611,d
125,21032391,2022-06-01 07:36:24,2022-06-01 07:36:00,4349,other
125,21032391,2022-06-01 08:48:53,2022-06-01 08:49:00,2786,o
125,21032391,2022-06-01 09:35:19,2022-06-01 09:35:00,4212,other
125,21032391,2022-06-01 10:45:31,2022-06-01 10:46:00,402,d
125,21032391,2022-06-01 10:52:13,2022-06-01 10:52:00,3893,other
125,21032391,2022-06-01 11:57:06,2022-06-01 11:57:00,10602,o
125,21032391,2022-06-01 14:53:48,2022-06-01 14:54:00,3796,other
125,21032391,2022-06-01 15:57:04,2022-06-01 15:57:00,1243,d
125,21032391,2022-06-01 16:17:47,2022-06-01 16:18:00,4297,other
125,21032391,2022-06-01 17:29:24,2022-06-01 17:29:00,3322,o
125,21032391,2022-06-01 18:24:46,2022-06-01 18:25:00,3741,other
125,21032391,2022-06-01 19:27:07,2022-06-01 19:27:00,2101,d
125,21032391,2022-06-01 20:02:08,2022-06-01 20:02:00,4190,other
125,21032391,2022-06-01 21:11:58,2022-06-01 21:12:00,3206,o
125,21032404,2022-06-01 07:22:32,2022-06-01 07:23:00,6106,o
125,21032404,2022-06-01 09:04:18,2022-06-01 09:04:00,793,d
125,21032404,2022-06-01 09:17:31,2022-06-01 09:18:00,4304,other
125,21032404,2022-06-01 10:29:15,2022-06-01 10:29:00,6872,o
125,21032404,2022-06-01 12:23:47,2022-06-01 12:24:00,4051,other
125,21032404,2022-06-01 13:31:18,2022-06-01 13:31:00,121,d
125,21032404,2022-06-01 13:33:19,2022-06-01 13:33:00,4314,other
125,21032404,2022-06-01 14:45:13,2022-06-01 14:45:00,5325,o
125,21032404,2022-06-01 16:13:58,2022-06-01 16:14:00,3898,other
125,21032404,2022-06-01 17:18:56,2022-06-01 17:19:00,800,d
